species,museum,catalog#,Locality,State,Country,SVL (cm),sex,gut contents,notes,Prey_item_number,Ectotherm,Endotherm,Prey_taxa_major,Prey_taxa_family,Prey taxa 2,Prey_common_group,Prey size,Prey activity
ant,QM,23754,"Numinbah Valley, via Southport",QLD,AUS,61.5,f,"mashed up mammal ""Tanner?"", white mouse according to MG",,1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
ant,CAS,77794,,VIC,AUS,62.5,F,none,hindgut contains fur and feces,1,0,1,Mammalian,Mammalian-unknown,,Mammalia,unknown,crepuscular / nocturnal
ant,QM,31980,"Stradbroke Is, Slipping Sands",QLD,AUS,62.8,f,one mouse,,1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
pyr,AM,125319,,WA,AUS,65.5,F,white mouse,,1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
ant,SAM,10732,,SA,AUS,66,F,fur,,1,0,1,Mammalian,Mammalian-unknown,,,,crepuscular / nocturnal
ant,NTM,9699,,NT,AUS,69,M,frog,,1,1,0,Amphibian,Frog-unknown,,Anura,,unknown
ant,QM,31999,Murwillumbah,NSW,AUS,70,f,Antechinus sp.,,1,0,1,Mammalian,Dasyuridae,,,medium,crepuscular / nocturnal
ant,NTM,17882,,NT,AUS,73.5,F,fec (fur),,1,0,1,Mammalian,Mammalian-unknown,,Mammalia,unknown,crepuscular / nocturnal
ant,NTM,31211,,NT,AUS,75,F,Sminthopsis sp.,,1,0,1,Mammalian,Dasyuridae,,Dasyuridae,medium,crepuscular / nocturnal
pyr,WAM,28102,16 km S of La Grange,WA,AUS,,F?,1liz,body badly damaged,1,1,0,Reptilian,Reptile-unknown,,,,diurnal
